892420643555336193	8476	38486	2017-08-01 16:23:56
892177421306343426	6238	32985	2017-08-01 00:17:27
891815181378084864	4134	24833	2017-07-31 00:18:03
891689557279858688	8601	41863	2017-07-30 15:58:51
891327558926688256	9331	40022	2017-07-29 16:00:24
891087950875897856	3094	20074	2017-07-29 00:08:17
890971913173991426	2056	11750	2017-07-28 16:27:12
890729181411237888	18798	64980	2017-07-28 00:22:40
890609185150312448	4243	27593	2017-07-27 16:25:51
890240255349198849	7368	31675	2017-07-26 15:59:51
890006608113172480	7295	30446	2017-07-26 00:31:25
889880896479866881	4946	27578	2017-07-25 16:11:53
889665388333682689	10007	47772	2017-07-25 01:55:32
889638837579907072	4521	26958	2017-07-25 00:10:02
889531135344209921	2224	14985	2017-07-24 17:02:04
889278841981685760	5380	25102	2017-07-24 00:19:32
888917238123831296	4477	28869	2017-07-23 00:22:39
888804989199671297	4291	25389	2017-07-22 16:56:37
888554962724278272	3555	19740	2017-07-22 00:23:06
888078434458587136	3477	21597	2017-07-20 16:49:33
887705289381826560	5365	29942	2017-07-19 16:06:48
887517139158093824	11616	45903	2017-07-19 03:39:09
887473957103951883	18111	68601	2017-07-19 00:47:34
887343217045368832	10350	33424	2017-07-18 16:08:03
887101392804085760	5930	30321	2017-07-18 00:07:08
886983233522544640	7735	34907	2017-07-17 16:17:36
886736880519319552	3273	11973	2017-07-16 23:58:41
886680336477933568	4443	22250	2017-07-16 20:14:00
886366144734445568	3187	21036	2017-07-15 23:25:31
886267009285017600	4	116	2017-07-15 16:51:35
886258384151887873	6243	27776	2017-07-15 16:17:19
886054160059072513	104	0	2017-07-15 02:45:48
885984800019947520	6779	32466	2017-07-14 22:10:11
885528943205470208	6397	35723	2017-07-13 15:58:47
885518971528720385	3743	20284	2017-07-13 15:19:09
885311592912609280	18502	0	2017-07-13 01:35:06
885167619883638784	4361	21776	2017-07-12 16:03:00
884925521741709313	18326	76942	2017-07-12 00:01:00
884876753390489601	5734	27734	2017-07-11 20:47:12
884562892145688576	4818	24130	2017-07-11 00:00:02
884441805382717440	5624	26787	2017-07-10 15:58:53
884247878851493888	20364	72490	2017-07-10 03:08:17
884162670584377345	2968	20230	2017-07-09 21:29:42
